feature,importance
V14,0.53720117
V3,0.19514966
V17,0.071423
V10,0.057982784
V5,0.046989433
Amount,0.017550211
Time,0.0057875244
V9,0.004939792
V25,0.004881763
V8,0.004464681
V6,0.003935496
V21,0.0036854176
V7,0.0036166706
V18,0.0035749418
V1,0.0031519565
V11,0.002959421
V12,0.002899695
V2,0.0027754342
V13,0.0027634252
V23,0.0026765785
V27,0.0026520193
V19,0.0026074892
V28,0.0025639152
V16,0.0024144885
V22,0.0022778837
V15,0.0020296534
V26,0.0019450866
V24,0.0018679773
V20,0.001767969
V4,0.0014645038
